1,481,437,283,433
2,482,436,285,433
3,485,435,287,431
4,486,434,285,434
5,486,435,284,435
6,484,438,284,434
7,484,436,285,433
8,483,438,284,434
9,483,439,284,435
10,482,438,284,435
11,482,438,283,434
12,481,438,282,434
13,483,437,280,433
14,485,434,285,434
15,484,434,290,431
16,484,438,282,430
17,482,435,283,431
18,481,433,284,429
19,483,433,282,430
20,484,434,284,430
21,481,434,282,431
22,479,436,277,433
23,481,435,279,428
24,482,437,280,430
25,483,433,287,430
26,483,431,282,428
27,484,432,285,428
28,481,431,283,428
29,484,431,278,427
30,481,432,281,432
31,481,427,280,427
32,481,421,278,421
33,480,422,279,422
34,479,421,277,421
35,480,418,280,421
36,478,422,279,422
37,476,422,274,422
38,477,420,275,420
39,478,418,277,418
40,476,420,276,420
41,476,422,275,422
42,478,423,278,423
43,480,423,282,423
44,489,422,287,418
45,494,418,298,418
46,506,418,308,418
47,516,418,321,422
48,524,416,332,419
49,535,415,343,422
50,544,413,356,420
51,548,414,368,421
52,555,410,375,420
53,559,409,382,423
54,626,412,388,422
55,626,390,394,422
56,630,403,396,423
57,624,421,388,424
58,566,415,384,422
59,618,408,371,422
60,546,415,357,419
61,533,418,338,418
62,522,416,320,416
63,501,418,300,418
64,486,418,283,414
65,472,418,265,414
66,453,419,253,416
67,440,422,237,414
68,428,420,227,417
69,414,426,214,419
70,402,428,208,417
71,396,424,204,417
72,390,427,201,417
73,392,426,201,419
74,393,428,202,422
75,393,430,205,419
76,394,430,205,419
77,399,428,209,421
78,407,428,210,417
79,415,427,217,420
80,422,430,224,422
81,426,430,229,426
82,435,432,234,428
83,444,432,241,432
84,448,433,248,433
85,454,434,252,438
86,455,437,255,441
87,454,439,256,442
88,456,443,258,443
89,457,443,258,443
90,460,445,259,449
91,461,445,258,445
92,462,445,256,448
93,458,445,260,448
94,461,447,258,447
95,462,448,260,452
96,465,449,264,449
97,465,449,263,449
98,468,450,266,450
99,466,450,267,450
100,467,449,265,449
101,467,447,267,447
102,467,448,265,448
103,467,450,269,450
104,471,453,267,446
105,494,456,261,449
106,487,456,261,448
107,541,376,260,448
108,487,455,257,447
109,534,379,260,448
110,529,376,260,447
111,528,375,257,447
112,527,375,252,446
113,534,377,257,445
114,532,380,256,444
115,525,377,252,444
116,524,375,255,445
117,532,379,254,443
118,524,377,253,445
119,528,377,255,445
120,528,379,255,443
121,529,379,259,443
122,535,378,258,446
123,535,376,257,444
124,530,375,257,439
125,528,375,262,443
126,530,374,256,442
127,535,376,257,437
128,529,372,257,443
129,531,372,257,440
130,527,373,259,437
131,527,372,258,440
132,530,373,260,444
133,482,454,259,443
134,489,452,271,383
135,483,457,273,384
136,486,454,269,384
137,496,450,251,450
138,490,447,253,444
139,465,447,253,444
140,465,445,255,441
141,465,444,255,440
142,465,440,259,440
143,465,441,258,441
144,461,440,256,440
145,463,440,257,440
146,461,441,258,441
147,464,439,259,443
148,461,440,260,440
149,462,439,258,439
150,462,441,260,441
151,462,440,259,440
152,465,440,259,440
153,462,441,260,441
154,463,439,262,443
155,464,439,262,439
156,467,442,266,442
157,466,441,266,441
158,470,441,266,441
159,469,443,267,443
160,471,443,270,443
161,475,442,277,442
162,481,441,286,441
163,496,440,293,440
164,509,438,310,438
165,523,441,330,438
166,539,443,350,436
167,552,445,368,438
168,624,455,391,439
169,633,452,415,437
193,568,467,386,453
194,550,463,363,450
195,536,464,340,450
196,527,460,329,443
197,518,457,319,443
198,511,454,310,444
199,506,452,303,442
200,499,452,301,442
201,494,449,296,442
202,491,451,292,444
203,485,454,286,447
204,477,456,279,452
205,470,460,267,456
206,464,459,263,455
207,455,460,252,453
208,438,464,235,453
209,494,406,135,399
210,384,400,116,410
211,394,401,156,461
212,353,408,126,459
218,242,639,110,664
221,207,674,84,659
222,209,672,84,657
223,200,696,99,661
224,219,670,89,656
225,216,692,95,658
227,242,655,108,660
228,258,655,129,663
229,289,644,149,664
231,321,399,132,453
232,340,461,151,455
233,358,461,168,454
234,385,459,186,455
235,405,460,206,460
236,417,458,215,462
237,431,456,229,464
238,439,458,239,465
239,447,457,239,468
240,454,458,249,469
241,456,455,253,469
242,460,454,260,465
243,463,454,262,468
244,468,457,264,468
245,464,457,267,468
246,465,461,269,468
247,466,462,268,472
248,468,462,266,473
249,469,465,267,475
250,469,466,268,477
251,472,468,267,479
252,471,476,268,483
253,469,473,267,484
254,467,474,270,485
255,466,475,268,482
256,467,471,265,478
257,469,471,269,475
258,470,471,268,475
259,468,468,270,475
260,469,469,267,476
261,470,471,268,478
262,466,471,264,478
263,464,471,264,479
264,466,475,265,478
265,468,472,264,480
266,468,474,264,481
267,469,472,266,479
268,469,477,267,481
269,470,473,269,480
270,469,474,264,482
271,468,473,263,480
272,466,473,260,480
273,467,474,261,481
274,464,474,260,477
275,466,476,265,479
276,466,475,264,478
277,466,474,265,477
278,468,472,262,476
279,467,474,264,477
280,468,474,266,477
281,468,476,265,476
282,466,474,263,474
283,465,476,264,476
284,466,476,264,480
285,464,478,265,475
286,468,476,265,476
287,466,476,262,476
288,466,478,264,478
